,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,credit_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,Total Wealth,social_class,loan_type,credit_rating,loan_term_type
0,2,Graduate,No,9600000,29900000,12,778,2400000,17600000,22700000,8000000,Approved,60300000,High Class,Platinum,Good,Long Term
1,0,Not Graduate,Yes,4100000,12200000,8,417,2700000,2200000,8800000,3300000,Rejected,21100000,Low Middle Class,Silver,Very Poor,Long Term
2,3,Graduate,No,9100000,29700000,20,506,7100000,4500000,33300000,12800000,Rejected,66800000,High Class,Platinum,Poor,Long Term
3,3,Graduate,No,8200000,30700000,8,467,18200000,3300000,23300000,7900000,Rejected,60900000,High Class,Platinum,Very Poor,Long Term
4,5,Not Graduate,Yes,9800000,24200000,20,382,12400000,8200000,29400000,5000000,Rejected,64800000,High Class,Platinum,Very Poor,Long Term
5,0,Graduate,Yes,4800000,13500000,10,319,6800000,8300000,13700000,5100000,Rejected,38700000,High Middle Class,Silver,Very Poor,Long Term
6,5,Graduate,No,8700000,33000000,4,678,22500000,14800000,29200000,4300000,Approved,79500000,High Class,Platinum,Good,Intermedate Term
7,2,Graduate,Yes,5700000,15000000,20,382,13200000,5700000,11800000,6000000,Rejected,42400000,High Middle Class,Gold,Very Poor,Long Term
8,0,Graduate,Yes,800000,2200000,20,782,1300000,800000,2800000,600000,Approved,6300000,Low Class,Bronze,Excellent,Long Term
9,5,Not Graduate,No,1100000,4300000,10,388,3200000,1400000,3300000,1600000,Rejected,10600000,Low Class,Bronze,Very Poor,Long Term
10,4,Graduate,Yes,2900000,11200000,2,547,8100000,4700000,9500000,3100000,Approved,28300000,Low Middle Class,Silver,Poor,Short Term
11,2,Not Graduate,Yes,6700000,22700000,18,538,15300000,5800000,20400000,6400000,Rejected,54600000,High Middle Class,Gold,Poor,Long Term
12,3,Not Graduate,Yes,5000000,11600000,16,311,6400000,9600000,14600000,4300000,Rejected,39900000,High Middle Class,Silver,Very Poor,Long Term
13,2,Graduate,Yes,9100000,31500000,14,679,10800000,16600000,20900000,5000000,Approved,62400000,High Class,Platinum,Good,Long Term
14,1,Not Graduate,No,1900000,7400000,6,469,1900000,1200000,5900000,1900000,Rejected,12800000,Low Middle Class,Silver,Very Poor,Intermedate Term
15,5,Not Graduate,No,4700000,10700000,10,794,5700000,3900000,16400000,4400000,Approved,35100000,Low Middle Class,Silver,Excellent,Long Term
16,2,Graduate,Yes,500000,1600000,4,663,1300000,100000,1300000,700000,Approved,3900000,Low Class,Bronze,Good,Intermedate Term
17,4,Not Graduate,Yes,2900000,9400000,14,780,2900000,2800000,6700000,4300000,Approved,19600000,Low Middle Class,Silver,Good,Long Term
18,2,Graduate,No,2700000,10300000,10,736,1000000,0,6200000,3300000,Approved,13200000,Low Middle Class,Silver,Good,Long Term
19,5,Graduate,No,6300000,14600000,12,652,10300000,3500000,23500000,5900000,Approved,49500000,High Middle Class,Gold,Fair,Long Term
20,2,Graduate,No,5000000,19400000,12,315,9500000,1600000,18000000,6100000,Rejected,40200000,High Middle Class,Gold,Very Poor,Long Term
21,4,Graduate,No,5800000,14000000,16,530,3800000,11300000,22200000,5400000,Rejected,48500000,High Middle Class,Silver,Poor,Long Term
22,4,Graduate,Yes,6500000,25700000,18,311,13100000,1700000,19500000,8500000,Rejected,49300000,High Middle Class,Platinum,Very Poor,Long Term
23,0,Not Graduate,Yes,500000,1400000,2,551,900000,600000,1100000,300000,Approved,3400000,Low Class,Bronze,Poor,Short Term
24,0,Not Graduate,No,4900000,9800000,16,324,3800000,8700000,10000000,3300000,Rejected,30700000,Low Middle Class,Silver,Very Poor,Long Term
25,5,Not Graduate,No,3100000,9500000,20,514,7900000,3100000,6600000,2600000,Rejected,23300000,Low Middle Class,Silver,Poor,Long Term
26,4,Graduate,No,8200000,28100000,12,696,11500000,10600000,25300000,7200000,Approved,62800000,High Class,Platinum,Good,Long Term
27,4,Not Graduate,Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,Approved,19000000,Low Middle Class,Silver,Good,Intermedate Term
28,5,Not Graduate,Yes,7000000,24000000,6,336,2300000,11900000,27500000,9700000,Rejected,58400000,High Middle Class,Platinum,Very Poor,Intermedate Term
29,3,Not Graduate,Yes,9000000,31500000,10,850,21800000,12400000,33700000,8000000,Approved,84900000,High Class,Platinum,Excellent,Long Term
30,2,Not Graduate,No,9800000,25300000,12,313,20200000,5200000,25500000,9300000,Rejected,70000000,High Class,Platinum,Very Poor,Long Term
31,2,Graduate,No,5700000,12000000,6,363,3600000,7400000,21700000,4300000,Rejected,42700000,High Middle Class,Silver,Very Poor,Intermedate Term
32,1,Not Graduate,Yes,800000,1600000,10,436,700000,200000,2200000,1000000,Rejected,4900000,Low Class,Bronze,Very Poor,Long Term
33,5,Not Graduate,Yes,8400000,22000000,2,830,3800000,3900000,19900000,5400000,Approved,41400000,High Middle Class,Gold,Excellent,Short Term
34,3,Graduate,No,4900000,11900000,8,612,9700000,1200000,19000000,5800000,Approved,40600000,High Middle Class,Silver,Fair,Long Term
35,2,Graduate,Yes,1700000,3400000,8,691,2700000,2800000,6000000,900000,Approved,14100000,Low Middle Class,Bronze,Good,Long Term
36,3,Not Graduate,No,1600000,6200000,18,636,3400000,700000,5300000,1400000,Approved,12400000,Low Middle Class,Silver,Fair,Long Term
37,5,Graduate,Yes,8000000,27200000,6,348,6400000,300000,16700000,7100000,Rejected,38500000,High Middle Class,Platinum,Very Poor,Intermedate Term
38,5,Graduate,No,3600000,7700000,16,830,7000000,1300000,10000000,2900000,Approved,24800000,Low Middle Class,Silver,Excellent,Long Term
